OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12308,BT_20260203_033458_7ee09c50,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""breakout_bars"": 3, ""rsi_period"": 14, ""rsi_momentum_min"": 50, ""rsi_momentum_max"": 50, ""rsi_exit_overbought"": 75, ""rsi_exit_oversold"": 25, ""position_size"": 0.6, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.015, ""trailing_stop_pct"": 0.015, ""require_volume_spike"": false, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""_hash"": ""610fc001acb6"", ""_optimization_run_id"": ""OPT_20260203_033458""}",-0.1943,-0.1889,-0.053,-0.0874,-0.8523,0.224,NULL,0.0012,NULL,733,360,373,0.4911,0.8668,126408.04,-145839.72,351.1334,390.9912,2477.37,1548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36:45.5,NULL,OPT_20260203_033458
12309,BT_20260203_033645_2541b6ca,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""breakout_bars"": 2, ""rsi_period"": 14, ""rsi_momentum_min"": 50, ""rsi_momentum_max"": 50, ""rsi_exit_overbought"": 75, ""rsi_exit_oversold"": 25, ""position_size"": 0.6, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.015, ""trailing_stop_pct"": 0.015, ""require_volume_spike"": false, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""_hash"": ""fb84e3516537"", ""_optimization_run_id"": ""OPT_20260203_033458""}",-0.1494,-0.1451,-0.0387,-0.0636,-0.7823,0.189,NULL,0.0012,NULL,768,387,381,0.5039,0.9008,135593.08,-150533.38,350.3697,395.1007,2457.63,1539.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39:21.1,NULL,OPT_20260203_033458
12310,BT_20260203_033921_23a7e149,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""breakout_bars"": 4, ""rsi_period"": 14, ""rsi_momentum_min"": 50, ""rsi_momentum_max"": 50, ""rsi_exit_overbought"": 75, ""rsi_exit_oversold"": 25, ""position_size"": 0.6, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.015, ""trailing_stop_pct"": 0.015, ""require_volume_spike"": false, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""_hash"": ""f22eb38df636"", ""_optimization_run_id"": ""OPT_20260203_033458""}",-0.1714,-0.1666,-0.0483,-0.0793,-0.8026,0.211,NULL,0.0012,NULL,712,355,357,0.4986,0.8776,122868.2,-140007.18,346.1076,392.177,2477.37,1545.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41:24.5,NULL,OPT_20260203_033458
12311,BT_20260203_034124_f89445fb,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""breakout_bars"": 5, ""rsi_period"": 14, ""rsi_momentum_min"": 50, ""rsi_momentum_max"": 50, ""rsi_exit_overbought"": 75, ""rsi_exit_oversold"": 25, ""position_size"": 0.6, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.015, ""trailing_stop_pct"": 0.015, ""require_volume_spike"": false, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""_hash"": ""0236da73ee17"", ""_optimization_run_id"": ""OPT_20260203_033458""}",-0.1981,-0.1926,-0.0577,-0.094,-0.8096,0.239,NULL,0.0012,NULL,699,346,353,0.495,0.8559,117667.12,-137479.79,340.0784,389.4612,2490.53,1552.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43:15.8,NULL,OPT_20260203_033458
12312,BT_20260203_034315_119eb7ac,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""breakout_bars"": 3, ""rsi_period"": 14, ""rsi_momentum_min"": 45, ""rsi_momentum_max"": 55, ""rsi_exit_overbought"": 75, ""rsi_exit_oversold"": 25, ""position_size"": 0.6, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.015, ""trailing_stop_pct"": 0.015, ""require_volume_spike"": false, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""_hash"": ""8dbfccd51854"", ""_optimization_run_id"": ""OPT_20260203_033458""}",-0.1801,-0.175,-0.0459,-0.0785,-0.7145,0.246,NULL,0.0013,NULL,785,382,403,0.4866,0.8851,138730.83,-156741.72,363.1697,388.9373,2567.12,1504.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45:01.1,NULL,OPT_20260203_033458
12313,BT_20260203_034501_fa314e03,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""breakout_bars"": 3, ""rsi_period"": 14, ""rsi_momentum_min"": 55, ""rsi_momentum_max"": 45, ""rsi_exit_overbought"": 75, ""rsi_exit_oversold"": 25, ""position_size"": 0.6, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.015, ""trailing_stop_pct"": 0.015, ""require_volume_spike"": false, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""_hash"": ""aece1212f83d"", ""_optimization_run_id"": ""OPT_20260203_033458""}",-0.166,-0.1613,-0.0514,-0.0804,-0.8368,0.194,NULL,0.0012,NULL,662,336,326,0.5076,0.869,110148.91,-126751.95,327.8241,388.8097,2372.28,1629.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46:48.4,NULL,OPT_20260203_033458
12314,BT_20260203_034648_58219741,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""breakout_bars"": 3, ""rsi_period"": 14, ""rsi_momentum_min"": 40, ""rsi_momentum_max"": 60, ""rsi_exit_overbought"": 75, ""rsi_exit_oversold"": 25, ""position_size"": 0.6, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.015, ""trailing_stop_pct"": 0.015, ""require_volume_spike"": false, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""_hash"": ""8de10c6fa383"", ""_optimization_run_id"": ""OPT_20260203_033458""}",-0.178,-0.173,-0.0426,-0.0745,-0.7535,0.232,NULL,0.0014,NULL,822,396,426,0.4818,0.8933,149052.21,-166847.57,376.3945,391.661,2646,1463,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48:21.6,NULL,OPT_20260203_033458
12315,BT_20260203_034821_c45e2fef,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""breakout_bars"": 3, ""rsi_period"": 14, ""rsi_momentum_min"": 50, ""rsi_momentum_max"": 50, ""rsi_exit_overbought"": 80, ""rsi_exit_oversold"": 20, ""position_size"": 0.6, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.015, ""trailing_stop_pct"": 0.015, ""require_volume_spike"": false, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""_hash"": ""ddfe7e57cc81"", ""_optimization_run_id"": ""OPT_20260203_033458""}",-0.1743,-0.1694,-0.0504,-0.0992,-0.7248,0.229,NULL,0.0013,NULL,594,266,328,0.4478,0.8819,130166.83,-147601.79,489.349,450.0055,2490.53,1591,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49:50.9,NULL,OPT_20260203_033458
12316,BT_20260203_034950_a1335ded,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""breakout_bars"": 3, ""rsi_period"": 14, ""rsi_momentum_min"": 50, ""rsi_momentum_max"": 50, ""rsi_exit_overbought"": 70, ""rsi_exit_oversold"": 30, ""position_size"": 0.6, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.015, ""trailing_stop_pct"": 0.015, ""require_volume_spike"": false, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""_hash"": ""517ea32835ba"", ""_optimization_run_id"": ""OPT_20260203_033458""}",-0.1424,-0.1383,-0.0345,-0.0464,-0.649,0.214,NULL,0.0012,NULL,951,504,447,0.53,0.9026,132027.41,-146268.14,261.9591,327.2218,2474.08,2050.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51:20.2,NULL,OPT_20260203_033458
12317,BT_20260203_035120_c58c67da,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""breakout_bars"": 3, ""rsi_period"": 14, ""rsi_momentum_min"": 50, ""rsi_momentum_max"": 50, ""rsi_exit_overbought"": 75, ""rsi_exit_oversold"": 25, ""position_size"": 0.5, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.015, ""trailing_stop_pct"": 0.015, ""require_volume_spike"": false, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""_hash"": ""8613fb4a41fe"", ""_optimization_run_id"": ""OPT_20260203_033458""}",-0.1635,-0.1588,-0.0525,-0.0869,-0.8495,0.189,NULL,0.001,NULL,733,360,373,0.4911,0.8682,107671.03,-124017.24,299.0862,332.4859,2079.28,1285.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52:49.4,NULL,OPT_20260203_033458
