OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12356,BT_20260203_122805_bc9ddff5,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 14, ""rsi_oversold"": 25, ""rsi_overbought"": 75, ""rsi_extreme_oversold"": 20.0, ""rsi_extreme_overbought"": 80.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""pyramid_level2_profit"": 0.003, ""stop_loss_pct"": 0.02, ""take_profit_pct"": 0.04, ""trailing_stop_pct"": 0.0, ""require_volume_spike"": true, ""volume_spike_mult"": 1.5, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""e80fcfe8fda8"", ""_optimization_run_id"": ""OPT_20260203_122805""}",-0.0045,-0.0044,-0.0206,-0.0284,-0.1087,0.042,NULL,0.0003,NULL,36,22,14,0.6111,0.9509,8785.39,-9238.68,399.3359,659.9057,928,1388.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29:37.0,NULL,OPT_20260203_122805
12357,BT_20260203_122937_2aacf1c4,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 14, ""rsi_oversold"": 25, ""rsi_overbought"": 75, ""rsi_extreme_oversold"": 20.0, ""rsi_extreme_overbought"": 80.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""pyramid_level2_profit"": 0.003, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.05, ""trailing_stop_pct"": 0.0, ""require_volume_spike"": true, ""volume_spike_mult"": 1.5, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""b9da20fe2c8a"", ""_optimization_run_id"": ""OPT_20260203_122805""}",-0.0042,-0.0041,-0.0188,-0.0242,-0.0955,0.044,NULL,0.0003,NULL,36,22,14,0.6111,0.9545,8808.18,-9228.29,400.3718,659.1636,929,1639.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31:06.2,NULL,OPT_20260203_122805
12358,BT_20260203_123106_746d1e67,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 14, ""rsi_oversold"": 25, ""rsi_overbought"": 75, ""rsi_extreme_oversold"": 20.0, ""rsi_extreme_overbought"": 80.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""pyramid_level2_profit"": 0.003, ""stop_loss_pct"": 0.03, ""take_profit_pct"": 0.06, ""trailing_stop_pct"": 0.0, ""require_volume_spike"": true, ""volume_spike_mult"": 1.5, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""f6b59c301e37"", ""_optimization_run_id"": ""OPT_20260203_122805""}",-0.006,-0.0058,-0.0262,-0.0329,-0.1303,0.046,NULL,0.0003,NULL,36,22,14,0.6111,0.9366,8798.56,-9393.69,399.9345,670.9779,927,1639.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33:01.7,NULL,OPT_20260203_122805
12359,BT_20260203_123301_8307c4b7,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 14, ""rsi_oversold"": 28, ""rsi_overbought"": 72, ""rsi_extreme_oversold"": 20.0, ""rsi_extreme_overbought"": 80.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""pyramid_level2_profit"": 0.003, ""stop_loss_pct"": 0.02, ""take_profit_pct"": 0.04, ""trailing_stop_pct"": 0.0, ""require_volume_spike"": true, ""volume_spike_mult"": 1.5, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""89eb77a87733"", ""_optimization_run_id"": ""OPT_20260203_122805""}",-0.0706,-0.0685,-0.1924,-0.2912,-0.7478,0.094,NULL,0.0004,NULL,56,30,26,0.5357,0.6316,12105.39,-19165.6,403.513,737.1385,866,1397.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34:43.0,NULL,OPT_20260203_122805
12360,BT_20260203_123443_e39a4b0f,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 14, ""rsi_oversold"": 28, ""rsi_overbought"": 72, ""rsi_extreme_oversold"": 20.0, ""rsi_extreme_overbought"": 80.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""pyramid_level2_profit"": 0.003, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.05, ""trailing_stop_pct"": 0.0, ""require_volume_spike"": true, ""volume_spike_mult"": 1.5, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""7cb0db49ac0b"", ""_optimization_run_id"": ""OPT_20260203_122805""}",-0.0761,-0.0738,-0.2012,-0.2882,-0.7668,0.099,NULL,0.0004,NULL,56,30,26,0.5357,0.6134,12078.59,-19690.45,402.6197,757.325,861,1520.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36:18.2,NULL,OPT_20260203_122805
12361,BT_20260203_123618_a5dd462b,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 14, ""rsi_oversold"": 28, ""rsi_overbought"": 72, ""rsi_extreme_oversold"": 20.0, ""rsi_extreme_overbought"": 80.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""pyramid_level2_profit"": 0.003, ""stop_loss_pct"": 0.03, ""take_profit_pct"": 0.06, ""trailing_stop_pct"": 0.0, ""require_volume_spike"": true, ""volume_spike_mult"": 1.5, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""502e609f9c01"", ""_optimization_run_id"": ""OPT_20260203_122805""}",-0.0702,-0.0681,-0.1785,-0.2298,-0.7508,0.094,NULL,0.0005,NULL,56,31,25,0.5536,0.6385,12407.28,-19430.95,400.2348,777.238,867,2108.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37:49.5,NULL,OPT_20260203_122805
12362,BT_20260203_123749_d303e5ef,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""rsi_extreme_oversold"": 20.0, ""rsi_extreme_overbought"": 80.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""pyramid_level2_profit"": 0.003, ""stop_loss_pct"": 0.02, ""take_profit_pct"": 0.04, ""trailing_stop_pct"": 0.0, ""require_volume_spike"": true, ""volume_spike_mult"": 1.5, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""1779e22ba775"", ""_optimization_run_id"": ""OPT_20260203_122805""}",-0.0655,-0.0636,-0.1312,-0.1848,-0.866,0.076,NULL,0.0005,NULL,79,47,32,0.5949,0.7265,17411.37,-23964.47,370.4547,748.8897,884,1431.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39:22.7,NULL,OPT_20260203_122805
12363,BT_20260203_123922_7ce0d3a9,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""rsi_extreme_oversold"": 20.0, ""rsi_extreme_overbought"": 80.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""pyramid_level2_profit"": 0.003, ""stop_loss_pct"": 0.025, ""take_profit_pct"": 0.05, ""trailing_stop_pct"": 0.0, ""require_volume_spike"": true, ""volume_spike_mult"": 1.5, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""ade84ddd7bc4"", ""_optimization_run_id"": ""OPT_20260203_122805""}",-0.0685,-0.0664,-0.134,-0.1762,-0.801,0.085,NULL,0.0005,NULL,79,47,32,0.5949,0.7169,17340.78,-24190.11,368.9528,755.9409,876,1546.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40:51.9,NULL,OPT_20260203_122805
12364,BT_20260203_124051_8abbf3f0,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""rsi_extreme_oversold"": 20.0, ""rsi_extreme_overbought"": 80.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""pyramid_level2_profit"": 0.003, ""stop_loss_pct"": 0.03, ""take_profit_pct"": 0.06, ""trailing_stop_pct"": 0.0, ""require_volume_spike"": true, ""volume_spike_mult"": 1.5, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""bf4cb69641bd"", ""_optimization_run_id"": ""OPT_20260203_122805""}",-0.0657,-0.0638,-0.1229,-0.1453,-0.7941,0.083,NULL,0.0005,NULL,79,48,31,0.6076,0.7285,17635.65,-24209.76,367.4094,780.96,879,2118.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42:17.1,NULL,OPT_20260203_122805
12365,BT_20260203_124217_70ed1d4c,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 14, ""rsi_oversold"": 35, ""rsi_overbought"": 65, ""rsi_extreme_oversold"": 20.0, ""rsi_extreme_overbought"": 80.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""pyramid_level2_profit"": 0.003, ""stop_loss_pct"": 0.02, ""take_profit_pct"": 0.04, ""trailing_stop_pct"": 0.0, ""require_volume_spike"": true, ""volume_spike_mult"": 1.5, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""bad76e75ca75"", ""_optimization_run_id"": ""OPT_20260203_122805""}",-0.1022,-0.0992,-0.1071,-0.151,-0.7758,0.131,NULL,0.0006,NULL,155,95,60,0.6129,0.7698,34176.92,-44399.95,359.7571,739.9992,1012.78,1369.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43:50.3,NULL,OPT_20260203_122805
